Fixed_Question_Equation,Fixed_Question_Answer,Question,Fixed_Question,Question_Digits,Decimal_Question,Question_Steps,Question_Information_Irrelevance,Question_Length,Question_Length_Cateogry
x=+43-27,16,Joan picked 43 apples from the orchard and gave 27 apples to Melanie. How many apples does Joan have now?,Joan picked 43 apples from the orchard and gave 27 apples to Melanie. How many apples does Joan have now?,2,0,1,0,105,B. 100<=x<200
x=+30-16,14,"Tom has 30 violet balloons, he gave Fred 16 of the balloons. How many violet balloons does he now have?","Tom has 30 violet balloons, he gave Fred 16 of the balloons. How many violet balloons does he now have?",2,0,1,0,103,B. 100<=x<200
x=+40-22,18,Fred has 40 baseball cards. Keith bought 22 of Fred's baseball cards. How many baseball cards does Fred have now?,Fred has 40 baseball cards. Keith bought 22 of Fred's baseball cards. How many baseball cards does Fred have now?,2,0,1,0,113,B. 100<=x<200
x=+47-25,22,"Fred found 47 seashells on the beach, he gave Jessica 25 of the seashells. How many seashells does he now have?","Fred found 47 seashells on the beach, he gave Jessica 25 of the seashells. How many seashells does he now have?",2,0,1,0,111,B. 100<=x<200
x=+43-23,20,"Sara grew 43 pumpkins, but the rabbits ate 23 pumpkins. How many pumpkins does Sara have?","Sara grew 43 pumpkins, but the rabbits ate 23 pumpkins. How many pumpkins does Sara have?",2,0,1,0,89,A. x<100
x=+33-26,7,Joan decided to sell all of her old books. She gathered up 33 books to sell. She sold 26 books in a yard sale. How many books does Joan now have?,Joan decided to sell all of her old books. She gathered up 33 books to sell. She sold 26 books in a yard sale. How many books does Joan now have?,2,0,1,1,145,B. 100<=x<200
x=+46-25,21,There are 46 rulers in the drawer. Tim took 25 rulers from the drawer. How many rulers are now in the drawer?,There are 46 rulers in the drawer. Tim took 25 rulers from the drawer. How many rulers are now in the drawer?,2,0,1,0,109,B. 100<=x<200
x=+33-18,15,There are 33 oak trees currently in the park. Park workers had to cut down 18 oak trees that were damaged. How many oak trees will be in the park when the workers are finished?,There are 33 oak trees currently in the park. Park workers had to cut down 18 oak trees that were damaged. How many oak trees will be in the park when the workers are finished?,2,0,1,1,176,B. 100<=x<200
x=+5.2+4.23,9.43,Joan purchased a basketball game for $ 5.20 and a racing game for $ 4.23. How much did Joan spend on video games?,Joan purchased a basketball game for $ 5.20 and a racing game for $ 4.23. How much did Joan spend on video games?,3,1,1,1,113,B. 100<=x<200
x=+145.16+5.84,151,Mike joined his school's band. He bought a trumpet for $ 145.16 and a song book which was $ 5.84. How much did Mike spend at the music store?,Mike joined his school's band. He bought a trumpet for $ 145.16 and a song book which was $ 5.84. How much did Mike spend at the music store?,5,1,1,1,141,B. 100<=x<200
x=+5.71+6.59,12.3,"Alyssa bought some toys. She bought a football for $ 5.71 and spent $ 6.59 on marbles. In total, how much did Alyssa spend on toys?","Alyssa bought some toys. She bought a football for $ 5.71 and spent $ 6.59 on marbles. In total, how much did Alyssa spend on toys?",3,1,1,1,131,B. 100<=x<200
x=+10.22+11.73,21.95,Jessica spent $ 10.22 on a cat toy and a cage cost her $ 11.73. What was the total cost of Jessica's purchases?,Jessica spent $ 10.22 on a cat toy and a cage cost her $ 11.73. What was the total cost of Jessica's purchases?,4,1,1,1,111,B. 100<=x<200
x=+5.36+5.1,10.46,Sara got fast food for lunch. Sara spent $ 5.36 on a hotdog and $ 5.10 on a salad. What was the total of the lunch bill?,Sara got fast food for lunch. Sara spent $ 5.36 on a hotdog and $ 5.10 on a salad. What was the total of the lunch bill?,3,1,1,1,120,B. 100<=x<200
x=+14.28+4.74,19.02,"Jason went to the mall on Saturday to buy clothes. He spent $ 14.28 on shorts and $ 4.74 on a jacket. In total, how much money did Jason spend on clothing?","Jason went to the mall on Saturday to buy clothes. He spent $ 14.28 on shorts and $ 4.74 on a jacket. In total, how much money did Jason spend on clothing?",4,1,1,1,155,B. 100<=x<200
x=+12.08+9.85,21.93,"Alyssa loves eating fruits. Alyssa paid $ 12.08 for grapes and $ 9.85 for cherries. In total, how much money did Alyssa spend?","Alyssa loves eating fruits. Alyssa paid $ 12.08 for grapes and $ 9.85 for cherries. In total, how much money did Alyssa spend?",4,1,1,1,126,B. 100<=x<200
x=+11.08+14.33+9.31,34.72,"Mary loves eating fruits. Mary paid $ 11.08 for berries, $ 14.33 for apples and $ 9.31 for peaches. In total, how much money did she spend?","Mary loves eating fruits. Mary paid $ 11.08 for berries, $ 14.33 for apples and $ 9.31 for peaches. In total, how much money did she spend?",4,1,2,1,139,B. 100<=x<200
x=+13.99+12.14+7.43,33.56,"Sandy went to the mall to buy clothes. She spent $ 13.99 on shorts, $ 12.14 on a shirt and $ 7.43 on a jacket. How much money did Sandy spend on clothes?","Sandy went to the mall to buy clothes. She spent $ 13.99 on shorts, $ 12.14 on a shirt and $ 7.43 on a jacket. How much money did Sandy spend on clothes?",4,1,2,1,153,B. 100<=x<200
x=+142.46+8.89+7,158.35,"Jason joined his school's band. He bought a flute for $ 142.46, a music tool for $ 8.89 and a song book for $ 7. How much did Jason spend at the music store?","Jason joined his school's band. He bought a flute for $ 142.46, a music tool for $ 8.89 and a song book for $ 7. How much did Jason spend at the music store?",5,1,2,1,157,B. 100<=x<200
x=+14.02+9.46+12.04,35.52,"Tom purchased a football game for $ 14.02, a strategy game for $ 9.46 and a Batman game for $ 12.04. How much did Tom spend on video games?","Tom purchased a football game for $ 14.02, a strategy game for $ 9.46 and a Batman game for $ 12.04. How much did Tom spend on video games?",4,1,2,1,139,B. 100<=x<200
x=+9.05+4.95+6.52,20.52,"Mike bought some toys. He bought marbles for $ 9.05, a football for $ 4.95 and spent $ 6.52 on a baseball. In total, how much did Mike spend on toys?","Mike bought some toys. He bought marbles for $ 9.05, a football for $ 4.95 and spent $ 6.52 on a baseball. In total, how much did Mike spend on toys?",3,1,2,1,149,B. 100<=x<200
x=+5973+8723,14696,"A ship is filled with 5973 tons of cargo. It stops in the Bahamas, where sailors load 8723 tons of cargo onboard. How many tons of cargo does the ship hold now?","A ship is filled with 5973 tons of cargo. It stops in the Bahamas, where sailors load 8723 tons of cargo onboard. How many tons of cargo does the ship hold now?",4,0,1,1,160,B. 100<=x<200
x=+1346+6444,7790,"Before December, customers buy 1346 ear muffs from the mall. During December, they buy 6444 and there are none. In all, how many ear muffs do the customers buy?","Before December, customers buy 1346 ear muffs from the mall. During December, they buy 6444 and there are none left. In all, how many ear muffs do the customers buy?",4,0,1,1,165,B. 100<=x<200
x=+2479+6085,8564,"Diane is a beekeeper. Last year, she harvested 2479 pounds of honey. This year, she bought some new hives and increased her honey harvest by 6085 pounds. How many pounds of honey did Diane harvest this year?","Diane is a beekeeper. Last year, she harvested 2479 pounds of honey. This year, she bought some new hives and increased her honey harvest by 6085 pounds. How many pounds of honey did Diane harvest this year?",4,0,1,1,207,C. x>=200
x=+6522+5165,11687,"An oil pipe in the sea broke. Before engineers started to fix the pipe, 6522 liters of oil leaked into the water. While the engineers worked, the pipe leaked 5165 liters of oil. In all, how many liters of oil leaked into the water?","An oil pipe in the sea broke. Before engineers started to fix the pipe, 6522 liters of oil leaked into the water. While the engineers worked, the pipe leaked 5165 liters of oil. In all, how many liters of oil leaked into the water?",4,0,1,1,231,C. x>=200
x=+3884+2871,6755,A car company produced 3884 cars in North America and 2871 cars in Europe. How many cars is that in all?,A car company produced 3884 cars in North America and 2871 cars in Europe. How many cars is that in all?,4,0,1,1,104,B. 100<=x<200
x=+6359+3485,9844,"Abe's family moved from the Bahamas to Japan, so they had convert their money into Japanese yen. Their checking account now has 6359 yen and their savings account now has 3485 yen. How many yen do they have?","Abe's family moved from the Bahamas to Japan, so they had convert their money into Japanese yen. Their checking account now has 6359 yen and their savings account now has 3485 yen. How many yen do they have?",4,0,1,1,207,C. x>=200
x=+1986+5106,7092,"There are 1986 books in Oak Grove's public library. In addition, there are 5106 books in its school libraries. How many books do the libraries in Oak Grove have overall?","There are 1986 books in Oak Grove's public library. In addition, there are 5106 books in its school libraries. How many books do the libraries in Oak Grove have overall?",4,0,1,1,169,B. 100<=x<200
x=+20817+97741,118558,"There were originally 20817 houses in Lincoln County. During a housing boom, developers built 97741. How many houses are there now in Lincoln County?","There were originally 20817 houses in Lincoln County. During a housing boom, developers built 97741. How many houses are there now in Lincoln County?",5,0,1,1,149,B. 100<=x<200
x=+48097+684,48781,"A farmer estimates that he will harvest 48097 bushels of wheat. The weather is perfect during the growing season, so he harvests 684 bushels of wheat than expected. How many bushels of wheat does the farmer harvest?","A farmer estimates that he will harvest 48097 bushels of wheat. The weather is perfect during the growing season, so he harvests 684 more bushels of wheat than expected. How many bushels of wheat does the farmer harvest?",5,0,1,1,220,C. x>=200
x=+69+26935,27004,"Christina just transferred $ 69 out of her bank account. As a result, the account now has $ 26935 in it. How much money was in the account before the transfer?","Christina just transferred $ 69 out of her bank account. As a result, the account now has $ 26935 in it. How much money was in the account before the transfer?",5,0,1,0,159,B. 100<=x<200
x=+14507+213,14720,"Last year at Newberg's airport, 14507 passengers landed on time. Unfortunately, 213 passengers landed late. In all, how many passengers landed in Newberg last year?","Last year at Newberg's airport, 14507 passengers landed on time. Unfortunately, 213 passengers landed late. In all, how many passengers landed in Newberg last year?",5,0,1,1,164,B. 100<=x<200
x=+64535-522,64013,"A dust storm sweeps across the prairie. It covers 64535 acres of the prairie in dust, but leaves 522 acres untouched. How many acres does the prairie cover?",A dust storm sweeps across the prairie. The prairie covers 64535 acres and the storm leaves 522 acres untouched. How many acres does the storm cover?,5,0,1,1,149,B. 100<=x<200
x=+12170+54912,67082,"Some insects called aphids attack a large farm. In response, the farmer releases ladybugs onto the fields. There are 12170 ladybugs with spots and 54912 ladybugs without spots. How many ladybugs are there in all?","Some insects called aphids attack a large farm. In response, the farmer releases ladybugs onto the fields. There are 12170 ladybugs with spots and 54912 ladybugs without spots. How many ladybugs are there in all?",5,0,1,1,212,C. x>=200
x=+90171+16320,106491,"Last year, 90171 people were born in a country and 16320 people immigrated to it. How many new people began living in the country last year?","Last year, 90171 people were born in a country and 16320 people immigrated to it. How many new people began living in the country last year?",5,0,1,1,140,B. 100<=x<200
x=+49952+918,50870,"A ship full of grain crashes into a coral reef. By the time the ship is fixed, 49952 tons of grain have spilled into the water. Only 918 tons of grain remain onboard. How many tons of grain did the ship originally contain?","A ship full of grain crashes into a coral reef. By the time the ship is fixed, 49952 tons of grain have spilled into the water. Only 918 tons of grain remain onboard. How many tons of grain did the ship originally contain?",5,0,1,1,222,C. x>=200
x=+61921+49500,111421,"To fill an order, the factory dyed 61921 yards of silk green and 49500 yards pink. How many yards of silk did it dye for that order?","To fill an order, the factory dyed 61921 yards of silk green and 49500 yards pink. How many yards of silk did it dye for that order?",5,0,1,1,132,B. 100<=x<200
x=+2041+63093,65134,A multi-national corporation has 2041 part-time employees and 63093 full-time employees. How many employees work for the corporation?,A multi-national corporation has 2041 part-time employees and 63093 full-time employees. How many employees work for the corporation?,5,0,1,1,133,B. 100<=x<200
x=+712261+259378,971639,"Each year, salmon travel upstream, going from the ocean to the rivers where they were born. This year, 712261 male and 259378 female salmon returned to their rivers. How many salmon made the trip?","Each year, salmon travel upstream, going from the ocean to the rivers where they were born. This year, 712261 male and 259378 female salmon returned to their rivers. How many salmon made the trip?",6,0,1,1,196,B. 100<=x<200
x=+14797+4969,19766,"A bathing suit manufacturer has a supply of 14797 bathing suits for men. In addition, it has 4969 bathing suits for women. How many bathing suits are available overall?","A bathing suit manufacturer has a supply of 14797 bathing suits for men. In addition, it has 4969 bathing suits for women. How many bathing suits are available overall?",5,0,1,1,168,B. 100<=x<200
x=+2000-1426,574,"Before the recent housing boom, there were 1426 houses in Lawrence County. Now, there are 2000 houses. How many houses did developers build during the housing boom?","Before the recent housing boom, there were 1426 houses in Lawrence County. Now, there are 2000 houses. How many houses did developers build during the housing boom?",4,0,1,1,164,B. 100<=x<200
x=+7341-4221,3120,A worker at a medical lab is studying blood samples. 2 samples contained a total of 7341 blood cells. The first sample contained 4221 blood cells. How many blood cells were in the second sample?,A worker at a medical lab is studying blood samples. 2 samples contained a total of 7341 blood cells. The first sample contained 4221 blood cells. How many blood cells were in the second sample?,4,0,1,2,194,B. 100<=x<200
x=+9792-3513,6279,"So far, an orchard has sold a combined total of 9792 pounds of fresh and frozen fruit this season. If they have sold 3513 pounds of frozen fruit, how many pounds of fresh fruit have been sold so far?","So far, an orchard has sold a combined total of 9792 pounds of fresh and frozen fruit this season. If they have sold 3513 pounds of frozen fruit, how many pounds of fresh fruit have been sold so far?",4,0,1,1,199,B. 100<=x<200
x=+1472-12,1460,"Recently, the value of Kate's retirement fund decreased by $ 12. If her fund was worth $ 1472 before, how much is it worth now?","Recently, the value of Kate's retirement fund decreased by $ 12. If her fund was worth $ 1472 before, how much is it worth now?",4,0,1,0,127,B. 100<=x<200
x=+9570-3867,5703,"The Richmond Tigers sold a total of 9570 tickets last season. If they sold 3867 tickets in the first half of the season, how many tickets did they sell in the second half?","The Richmond Tigers sold a total of 9570 tickets last season. If they sold 3867 tickets in the first half of the season, how many tickets did they sell in the second half?",4,0,1,1,171,B. 100<=x<200
x=+8917-600,8317,A petri dish originally contained 600 bacteria. A scientist let the bacteria grow and now there are 8917 of them. How many more bacteria are there now?,A petri dish originally contained 600 bacteria. A scientist let the bacteria grow and now there are 8917 of them. How many more bacteria are there now?,4,0,1,1,151,B. 100<=x<200
x=+1576-344,1232,"Tori is a school janitor. Last week, she picked up a total of 1576 pieces of trash. If she picked up 344 pieces of trash in the classrooms, how many pieces of trash did Tori pick up outside the classrooms?","Tori is a school janitor. Last week, she picked up a total of 1576 pieces of trash. If she picked up 344 pieces of trash in the classrooms, how many pieces of trash did Tori pick up outside the classrooms?",4,0,1,1,205,C. x>=200
x=+1339-816,523,"Molly owns the Wafting Pie Company. This morning, her employees used 816 eggs to bake pumpkin pies. If her employees used a total of 1339 eggs today, how many eggs did they use in the afternoon?","Molly owns the Wafting Pie Company. This morning, her employees used 816 eggs to bake pumpkin pies. If her employees used a total of 1339 eggs today, how many eggs did they use in the afternoon?",4,0,1,1,194,B. 100<=x<200
x=+6048-193,5855,Each of farmer Cunningham's 6048 lambs is either black or white. There are 193 white ones. How many of Farmer Cunningham's lambs are black?,Each of farmer Cunningham's 6048 lambs is either black or white. There are 193 white ones. How many of Farmer Cunningham's lambs are black?,4,0,1,1,139,B. 100<=x<200
x=+9437-6922,2515,Students at Arcadia schools are participating in a coat drive. 9437 coats have been collected so far. 6922 coats were collected from the high schools and the rest from the elementary schools. How many coats were collected at the elementary schools?,Students at Arcadia schools are participating in a coat drive. 9437 coats have been collected so far. 6922 coats were collected from the high schools and the rest from the elementary schools. How many coats were collected at the elementary schools?,4,0,1,1,248,C. x>=200
x=+6689-660,6029,"A company painted some houses in Hancock County white and blue using a total of 6689 gallons of paint. If they used 660 gallons of white paint, how many gallons of blue paint did the company use?","A company painted some houses in Hancock County white and blue using a total of 6689 gallons of paint. If they used 660 gallons of white paint, how many gallons of blue paint did the company use?",4,0,1,1,195,B. 100<=x<200
x=+8582-2647,5935,The Silvergrove Public Library used a grant to purchase 2647 books. Now the library has a total of 8582 books. How many books did the library have before the grant?,The Silvergrove Public Library used a grant to purchase 2647 books. Now the library has a total of 8582 books. How many books did the library have before the grant?,4,0,1,1,164,B. 100<=x<200
x=+7422-723,6699,"A cell phone company has a total of 7422 customers across the world. If 723 of its customers live in the United States, how many of its customers live in other countries?","A cell phone company has a total of 7422 customers across the world. If 723 of its customers live in the United States, how many of its customers live in other countries?",4,0,1,1,170,B. 100<=x<200
x=+4636-1416,3220,"Last year, egg producers in Douglas County produced 1416 eggs. This year, those same farms produced 4636 eggs. How many more eggs did the farms produce this year?","Last year, egg producers in Douglas County produced 1416 eggs. This year, those same farms produced 4636 eggs. How many more eggs did the farms produce this year?",4,0,1,1,162,B. 100<=x<200
x=+6206-2475,3731,"An oil pipe in the sea broke. Before engineers started to fix the pipe, 2475 gallons of oil leaked into the water. A total of 6206 gallons of oil leaked before the pipe was fixed. How many gallons of oil leaked while the engineers were fixing the pipe?","An oil pipe in the sea broke. Before engineers started to fix the pipe, 2475 gallons of oil leaked into the water. A total of 6206 gallons of oil leaked before the pipe was fixed. How many gallons of oil leaked while the engineers were fixing the pipe?",4,0,1,1,252,C. x>=200
x=+5155-45,5110,A treasure hunter discovered a buried treasure chest filled with a total of 5155 gems. 45 of the gems were diamonds and the rest were rubies. How many of the gems were rubies?,A treasure hunter discovered a buried treasure chest filled with a total of 5155 gems. 45 of the gems were diamonds and the rest were rubies. How many of the gems were rubies?,4,0,1,1,175,B. 100<=x<200
x=+6310-4518,1792,"Shannon and her family use up a lot of strawberry and blueberry jelly, since they eat toast every morning. At the moment, they have a combined total of 6310 grams of jelly. If they have 4518 grams of blueberry jelly, how many grams of strawberry jelly do they have?","Shannon and her family use up a lot of strawberry and blueberry jelly, since they eat toast every morning. At the moment, they have a combined total of 6310 grams of jelly. If they have 4518 grams of blueberry jelly, how many grams of strawberry jelly do they have?",4,0,1,1,265,C. x>=200
x=+5816-3103,2713,"While playing a video game, Paul scored 3103 points. He and his cousin together have a total of 5816 points. How many points does Paul's cousin have?","While playing a video game, Paul scored 3103 points. He and his cousin together have a total of 5816 points. How many points does Paul's cousin have?",4,0,1,1,149,B. 100<=x<200
x=+4938-805,4133,"A construction company is repaving a damaged road. So far, they have repaved a total of 4938 inches of the road. Today, they repaved 805 inches of the road. How many inches of the road had they repaved before today?","A construction company is repaving a damaged road. So far, they have repaved a total of 4938 inches of the road. Today, they repaved 805 inches of the road. How many inches of the road had they repaved before today?",4,0,1,1,215,C. x>=200
x=+3263-809,2454,Milford Lake was originally blue because it only had 809 algae plants. Now there are 3263 algae plants and the lake has turned green. How many more algae plants are in Milford Lake now?,Milford Lake was originally blue because it only had 809 algae plants. Now there are 3263 algae plants and the lake has turned green. How many more algae plants are in Milford Lake now?,4,0,1,1,185,B. 100<=x<200
x=+0.75-0.25,0.5,Oscar's bus ride to school is 0.75 mile and Charlie's bus ride is 0.25 mile. How much longer is Oscar's bus ride than Charlie's?,Oscar's bus ride to school is 0.75 mile and Charlie's bus ride is 0.25 mile. How much longer is Oscar's bus ride than Charlie's?,3,1,1,1,128,B. 100<=x<200
x=+0.25+0.25,0.5,"Karen added 0.25 cup of walnuts to a batch of trail mix. Later, she added 0.25 cup of almonds. How many cups of nuts did Karen put in the trail mix in all?","Karen added 0.25 cup of walnuts to a batch of trail mix. Later, she added 0.25 cup of almonds. How many cups of nuts did Karen put in the trail mix in all?",3,1,1,1,155,B. 100<=x<200
x=+0.166666666666666+0.5,0.6666666667,"Kendall is learning to drive, so this weekend she practiced driving 0.16666666666666666 mile with her mother and another 0.5 mile with her father. How far did Kendall drive in all?","Kendall is learning to drive, so this weekend she practiced driving 0.16666666666666666 mile with her mother and another 0.5 mile with her father. How far did Kendall drive in all?",18,1,1,1,180,B. 100<=x<200
x=+0.666666666666666-0.333333333333333,0.3333333333,"At a pie-eating contest, Erik got through 0.6666666666666666 pie before time was called ; Frank finished just 0.3333333333333333 pie. How much more pie did Erik eat than Frank?","At a pie-eating contest, Erik got through 0.6666666666666666 pie before time was called ; Frank finished just 0.3333333333333333 pie. How much more pie did Erik eat than Frank?",17,1,1,1,176,B. 100<=x<200
x=+0.75-0.5,0.25,A tailor cut 0.75 inch off a skirt and 0.5 inch off a pair of pants. How much more did the tailor cut off the skirt than the pants?,A tailor cut 0.75 inch off a skirt and 0.5 inch off a pair of pants. How much more did the tailor cut off the skirt than the pants?,3,1,1,1,131,B. 100<=x<200
x=+0.375+0.25,0.625,"At Lindsey's Vacation Wear, 0.375 the garments are bikinis and 0.25 are trunks. What fraction of the garments are either bikinis or trunks?","At Lindsey's Vacation Wear, 0.375 the garments are bikinis and 0.25 are trunks. What fraction of the garments are either bikinis or trunks?",4,1,1,1,139,B. 100<=x<200
x=+0.875-0.75,0.125,Darnel sprinted 0.875 lap and then took a break by jogging 0.75 lap. How much farther did Darnel sprint than jog?,Darnel sprinted 0.875 lap and then took a break by jogging 0.75 lap. How much farther did Darnel sprint than jog?,4,1,1,1,113,B. 100<=x<200
x=+0.3-0.2,0.1,A marine biologist measured 1 fish that was 0.3 foot long and a second fish that was 0.2 foot long. How much longer was the first fish?,A marine biologist measured 1 fish that was 0.3 foot long and a second fish that was 0.2 foot long. How much longer was the first fish?,2,1,1,2,135,B. 100<=x<200
x=+0.333333333333333+0.333333333333333,0.6666666667,Hannah's Vegetarian Restaurant bought 0.3333333333333333 pound of green peppers and 0.3333333333333333 pound of red peppers. How many pounds of peppers did Hannah's Vegetarian Restaurant buy in all?,Hannah's Vegetarian Restaurant bought 0.3333333333333333 pound of green peppers and 0.3333333333333333 pound of red peppers. How many pounds of peppers did Hannah's Vegetarian Restaurant buy in all?,17,1,1,1,198,B. 100<=x<200
x=+0.125+0.125,0.25,"Ella owns 2 dogs. Each day, 1 dog eats 0.125 scoop of dog food and the other dog eats 0.125 scoop. Together, how much dog food do the 2 dogs eat each day?","Ella owns 2 dogs. Each day, 1 dog eats 0.125 scoop of dog food and the other dog eats 0.125 scoop. Together, how much dog food do the 2 dogs eat each day?",4,1,1,2,154,B. 100<=x<200
x=+0.8-0.2,0.6,"Blake filled a bucket with 0.8 gallon of water. Later, he poured out 0.2 gallon of the water. How much water is in the bucket?","Blake filled a bucket with 0.8 gallon of water. Later, he poured out 0.2 gallon of the water. How much water is in the bucket?",2,1,1,0,126,B. 100<=x<200
x=+0.666666666666666-0.5,0.1666666667,Mandy made an apple pie. She used 0.6666666666666666 tablespoon of cinnamon and 0.5 tablespoon of nutmeg. How much more cinnamon than nutmeg did Mandy use?,Mandy made an apple pie. She used 0.6666666666666666 tablespoon of cinnamon and 0.5 tablespoon of nutmeg. How much more cinnamon than nutmeg did Mandy use?,17,1,1,1,155,B. 100<=x<200
x=+0.6+0.2,0.8,"The Montoya family spends 0.6 their budget on groceries and another 0.2 going out to eat. Altogether, what fraction of their budget does the Montoya family spend on food?","The Montoya family spends 0.6 their budget on groceries and another 0.2 going out to eat. Altogether, what fraction of their budget does the Montoya family spend on food?",2,1,1,1,170,B. 100<=x<200
x=+0.7+0.2,0.9,"In Mr. Olsen's mathematics class, 0.7 the students received A's and 0.2 received B's. What fraction of the students received either A's or B's?","In Mr. Olsen's mathematics class, 0.7 the students received A's and 0.2 received B's. What fraction of the students received either A's or B's?",2,1,1,1,143,B. 100<=x<200
x=+0.166666666666666+0.666666666666666,0.8333333333,"There is 0.16666666666666666 cup of oil in Scarlett's measuring cup. If Scarlett adds 0.6666666666666666 cup more, how much oil will be in the measuring cup?","There is 0.16666666666666666 cup of oil in Scarlett's measuring cup. If Scarlett adds 0.6666666666666666 cup more, how much oil will be in the measuring cup?",18,1,1,0,157,B. 100<=x<200
x=+0.2+0.4,0.6,"1 evening, a restaurant served a total of 0.2 loaf of wheat bread and 0.4 loaf of white bread. How many loaves were served in all?","1 evening, a restaurant served a total of 0.2 loaf of wheat bread and 0.4 loaf of white bread. How many loaves were served in all?",2,1,1,2,130,B. 100<=x<200
x=+0.4-0.2,0.2,Stanley ran 0.4 mile and walked 0.2 mile. How much farther did Stanley run than walk?,Stanley ran 0.4 mile and walked 0.2 mile. How much farther did Stanley run than walk?,2,1,1,1,85,A. x<100
x=+0.625-0.25,0.375,Dina made cookies. She used 0.625 cup of flour and 0.25 cup of sugar. How much more flour than sugar did Dina use?,Dina made cookies. She used 0.625 cup of flour and 0.25 cup of sugar. How much more flour than sugar did Dina use?,4,1,1,1,114,B. 100<=x<200
x=+0.2+0.4,0.6,"Each day, the polar bear at Richmond's zoo eats 0.2 bucket of trout and 0.4 bucket of salmon. How many buckets of fish does the polar bear eat daily?","Each day, the polar bear at Richmond's zoo eats 0.2 bucket of trout and 0.4 bucket of salmon. How many buckets of fish does the polar bear eat daily?",2,1,1,1,149,B. 100<=x<200
x=+0.6-0.4,0.2,Jenny ran 0.6 mile and walked 0.4 mile. How much farther did Jenny run than walk?,Jenny ran 0.6 mile and walked 0.4 mile. How much farther did Jenny run than walk?,2,1,1,1,81,A. x<100
x=+0.5+0.125,0.625,0.5 the students in the band are in the trumpet section. 0.125 the students in the band are in the trombone section. What fraction of the students in the band are in either the trumpet section or the trombone section?,0.5 the students in the band are in the trumpet section. 0.125 the students in the band are in the trombone section. What fraction of the students in the band are in either the trumpet section or the trombone section?,4,1,1,1,217,C. x>=200
x=+0.8-0.1,0.7,Suzie found 2 worms in the yard and measured them with a ruler. 1 worm was 0.8 inch long. The other worm was 0.1 inch long. How much longer was the longer worm?,Suzie found 2 worms in the yard and measured them with a ruler. 1 worm was 0.8 inch long. The other worm was 0.1 inch long. How much longer was the longer worm?,2,1,1,2,160,B. 100<=x<200
x=+0.25+0.375,0.625,Scarlett made a fruit salad with 0.25 pound of melon and 0.375 pound of berries. How many pounds of fruit did Scarlett use in all?,Scarlett made a fruit salad with 0.25 pound of melon and 0.375 pound of berries. How many pounds of fruit did Scarlett use in all?,4,1,1,1,130,B. 100<=x<200
x=+0.625-0.5,0.125,Vince's bus ride to school is 0.625 mile and Zachary's bus ride is 0.5 mile. How much longer is Vince's bus ride than Zachary's?,Vince's bus ride to school is 0.625 mile and Zachary's bus ride is 0.5 mile. How much longer is Vince's bus ride than Zachary's?,4,1,1,1,128,B. 100<=x<200
x=+0.5+0.1,0.6,"In 1 week, Mitch's family drank 0.5 carton of regular milk and 0.1 carton of soy milk. How much milk did they drink in all?","In 1 week, Mitch's family drank 0.5 carton of regular milk and 0.1 carton of soy milk. How much milk did they drink in all?",2,1,1,2,123,B. 100<=x<200
x=+0.375+0.5,0.875,Elizabeth went to the salon and had 0.375 inch of hair cut off. The next day she went back and asked for another 0.5 inch to be cut off. How much hair did she have cut off in all?,Elizabeth went to the salon and had 0.375 inch of hair cut off. The next day she went back and asked for another 0.5 inch to be cut off. How much hair did she have cut off in all?,4,1,1,1,179,B. 100<=x<200
x=+0.166666666666666+0.333333333333333,0.5,"In Shannon's apartment complex, 0.16666666666666666 the apartments are one-bedroom apartments and 0.3333333333333333 are two-bedroom apartments. What fraction of the apartments are either 1 - or two-bedroom apartments?","In Shannon's apartment complex, 0.16666666666666666 the apartments are one-bedroom apartments and 0.3333333333333333 are two-bedroom apartments. What fraction of the apartments are either 1 - or two-bedroom apartments?",18,1,1,2,218,C. x>=200
x=+0.833333333333333-0.5,0.3333333333,"At the beach, Miki and her sister both built sandcastles and then measured their heights. Miki's sandcastle was 0.8333333333333334 foot tall and her sister's was 0.5 foot tall. How much taller was Miki's sandcastle than her sister's?","At the beach, Miki and her sister both built sandcastles and then measured their heights. Miki's sandcastle was 0.8333333333333334 foot tall and her sister's was 0.5 foot tall. How much taller was Miki's sandcastle than her sister's?",17,1,1,1,233,C. x>=200
x=+0.5-0.166666666666666,0.3333333333,"Michelle began her pizza delivery route with 0.5 tank of gas in her car. When she made it back to the pizzeria, 0.16666666666666666 tank of gas was. How much gas did Michelle use?","Michelle began her pizza delivery route with 0.5 tank of gas in her car. When she made it back to the pizzeria, 0.16666666666666666 tank of gas was. How much gas did Michelle use?",18,1,1,1,179,B. 100<=x<200
x=+0.4-0.3,0.1,"While taking inventory at her pastry shop, Kelly realizes that she had 0.4 box of baking powder yesterday, but the supply is now down to 0.3 box. How much more baking powder did Kelly have yesterday?","While taking inventory at her pastry shop, Kelly realizes that she had 0.4 box of baking powder yesterday, but the supply is now down to 0.3 box. How much more baking powder did Kelly have yesterday?",2,1,1,1,199,B. 100<=x<200
x=+0.2+0.7,0.9,Craig walked 0.2 mile from school to David's house and 0.7 mile from David's house to his own house. How many miles did Craig walk in all?,Craig walked 0.2 mile from school to David's house and 0.7 mile from David's house to his own house. How many miles did Craig walk in all?,2,1,1,1,138,B. 100<=x<200
